"","Genotype","ROI","Regressor","Decay.time"
"1","iav",0,"Angle.LF_leg.yaw",0.95
"2","iav",0,"Angle.LF_leg.pitch",0.95
"3","iav",0,"Angle.LF_leg.roll",0.95
"4","iav",0,"Angle.LF_leg.th_fe",0.25
"5","iav",0,"Angle.LF_leg.th_ti",0.25
"6","iav",0,"Angle.LF_leg.roll_tr",0.95
"7","iav",0,"Angle.LF_leg.th_ta",0.95
"8","iav",0,"Angle.LM_leg.yaw",0.95
"9","iav",0,"Angle.LM_leg.pitch",0.95
"10","iav",0,"Angle.LM_leg.roll",0.95
"11","iav",0,"Angle.LM_leg.th_fe",0.25
"12","iav",0,"Angle.LM_leg.th_ti",0.95
"13","iav",0,"Angle.LM_leg.roll_tr",0.25
"14","iav",0,"Angle.LM_leg.th_ta",0.95
"15","iav",0,"Angle.LH_leg.yaw",0.95
"16","iav",0,"Angle.LH_leg.pitch",0.25
"17","iav",0,"Angle.LH_leg.roll",0.25
"18","iav",0,"Angle.LH_leg.th_fe",0.25
"19","iav",0,"Angle.LH_leg.th_ti",0.95
"20","iav",0,"Angle.LH_leg.roll_tr",0.25
"21","iav",0,"Angle.LH_leg.th_ta",0.95
"22","iav",0,"Angle.RF_leg.yaw",0.95
"23","iav",0,"Angle.RF_leg.pitch",0.95
"24","iav",0,"Angle.RF_leg.roll",0.95
"25","iav",0,"Angle.RF_leg.th_fe",0.95
"26","iav",0,"Angle.RF_leg.th_ti",0.25
"27","iav",0,"Angle.RF_leg.roll_tr",0.95
"28","iav",0,"Angle.RF_leg.th_ta",0.95
"29","iav",0,"Angle.RM_leg.yaw",0.25
"30","iav",0,"Angle.RM_leg.pitch",0.25
"31","iav",0,"Angle.RM_leg.roll",0.25
"32","iav",0,"Angle.RM_leg.th_fe",0.25
"33","iav",0,"Angle.RM_leg.th_ti",0.95
"34","iav",0,"Angle.RM_leg.roll_tr",0.95
"35","iav",0,"Angle.RM_leg.th_ta",0.95
"36","iav",0,"Angle.RH_leg.yaw",0.95
"37","iav",0,"Angle.RH_leg.pitch",0.25
"38","iav",0,"Angle.RH_leg.roll",0.25
"39","iav",0,"Angle.RH_leg.th_fe",0.25
"40","iav",0,"Angle.RH_leg.th_ti",0.25
"41","iav",0,"Angle.RH_leg.roll_tr",0.25
"42","iav",0,"Angle.RH_leg.th_ta",0.95
"43","iav",1,"Angle.LF_leg.yaw",0.95
"44","iav",1,"Angle.LF_leg.pitch",0.95
"45","iav",1,"Angle.LF_leg.roll",0.95
"46","iav",1,"Angle.LF_leg.th_fe",0.25
"47","iav",1,"Angle.LF_leg.th_ti",0.25
"48","iav",1,"Angle.LF_leg.roll_tr",0.25
"49","iav",1,"Angle.LF_leg.th_ta",0.25
"50","iav",1,"Angle.LM_leg.yaw",0.95
"51","iav",1,"Angle.LM_leg.pitch",0.95
"52","iav",1,"Angle.LM_leg.roll",0.25
"53","iav",1,"Angle.LM_leg.th_fe",0.25
"54","iav",1,"Angle.LM_leg.th_ti",0.25
"55","iav",1,"Angle.LM_leg.roll_tr",0.95
"56","iav",1,"Angle.LM_leg.th_ta",0.95
"57","iav",1,"Angle.LH_leg.yaw",0.95
"58","iav",1,"Angle.LH_leg.pitch",0.95
"59","iav",1,"Angle.LH_leg.roll",0.95
"60","iav",1,"Angle.LH_leg.th_fe",0.25
"61","iav",1,"Angle.LH_leg.th_ti",0.95
"62","iav",1,"Angle.LH_leg.roll_tr",0.25
